date,hour,total
4/9 (2011),10 AM,133
4/9 (2011),11 AM,142
4/9 (2011),12 PM,202
4/9 (2011),1 PM,222
4/9 (2011),2 PM,212
4/9 (2011),3 PM,201
4/9 (2011),4 PM,191
4/9 (2011),5 PM,257
4/9 (2011),6 PM,177
4/9 (2011),7 PM,130
4/9 (2011),8 PM,93
4/9 (2011),9 PM,75
4/9 (2011),10 PM,87
4/9 (2011),11 PM,57
4/10 (2011),12 AM,53
4/10 (2011),1 AM,37
4/10 (2011),2 AM,36
4/10 (2011),3 AM,16
4/10 (2011),4 AM,5
4/10 (2011),5 AM,4
4/10 (2011),6 AM,4
4/10 (2011),7 AM,10
4/10 (2011),8 AM,55
4/10 (2011),9 AM,81
4/10 (2011),10 AM,150
4/10 (2011),11 AM,202
4/10 (2011),12 PM,230
4/10 (2011),1 PM,263
4/10 (2011),2 PM,281
4/10 (2011),3 PM,297
4/10 (2011),4 PM,288
4/10 (2011),5 PM,236
4/10 (2011),6 PM,240
4/10 (2011),7 PM,131
4/10 (2011),8 PM,92
4/10 (2011),9 PM,95
4/10 (2011),10 PM,57
4/10 (2011),11 PM,32
4/11 (2011),12 AM,23
4/11 (2011),1 AM,4
4/11 (2011),2 AM,9
4/11 (2011),4 AM,1
4/11 (2011),5 AM,13
4/11 (2011),6 AM,61
4/11 (2011),7 AM,176
4/11 (2011),8 AM,314
4/11 (2011),9 AM,165
4/11 (2011),10 AM,96
4/11 (2011),11 AM,104
4/11 (2011),12 PM,134
4/11 (2011),1 PM,139
4/11 (2011),2 PM,145
4/11 (2011),3 PM,141
4/11 (2011),4 PM,235
4/11 (2011),5 PM,452
4/11 (2011),6 PM,383
4/11 (2011),7 PM,284
4/11 (2011),8 PM,166
4/11 (2011),9 PM,158
4/11 (2011),10 PM,91
4/11 (2011),11 PM,54
4/12 (2011),12 AM,24
4/12 (2011),1 AM,13
4/12 (2011),2 AM,14
4/12 (2011),3 AM,1
4/12 (2011),4 AM,6
4/12 (2011),5 AM,16
4/12 (2011),6 AM,58
4/12 (2011),7 AM,189
4/12 (2011),8 AM,226
4/12 (2011),9 AM,54
4/12 (2011),10 AM,40
4/12 (2011),11 AM,49
4/12 (2011),12 PM,92
4/12 (2011),1 PM,106
4/12 (2011),2 PM,44
4/12 (2011),3 PM,78
4/12 (2011),4 PM,99
4/12 (2011),5 PM,291
4/12 (2011),6 PM,224
4/12 (2011),7 PM,130
4/12 (2011),8 PM,103
4/12 (2011),9 PM,84
4/12 (2011),10 PM,54
4/12 (2011),11 PM,39
4/13 (2011),12 AM,15
4/13 (2011),1 AM,1
4/13 (2011),2 AM,2
4/13 (2011),3 AM,2
4/13 (2011),4 AM,3
4/13 (2011),5 AM,5
4/13 (2011),6 AM,34
4/13 (2011),7 AM,70
4/13 (2011),8 AM,164
4/13 (2011),9 AM,65
4/13 (2011),10 AM,46
4/13 (2011),11 AM,61
4/13 (2011),12 PM,95
4/13 (2011),1 PM,61
4/13 (2011),2 PM,106
4/13 (2011),3 PM,81
4/13 (2011),4 PM,142
4/13 (2011),5 PM,309
4/13 (2011),6 PM,321
4/13 (2011),7 PM,175
4/13 (2011),8 PM,126
4/13 (2011),9 PM,117
4/13 (2011),10 PM,99
4/13 (2011),11 PM,62
4/14 (2011),12 AM,21
4/14 (2011),1 AM,10
4/14 (2011),2 AM,3
4/14 (2011),3 AM,2
4/14 (2011),4 AM,9
4/14 (2011),5 AM,14
4/14 (2011),6 AM,70
4/14 (2011),7 AM,193
4/14 (2011),8 AM,337
4/14 (2011),9 AM,170
4/14 (2011),10 AM,89
4/14 (2011),11 AM,115
4/14 (2011),12 PM,145
4/14 (2011),1 PM,159
4/14 (2011),2 PM,137
4/14 (2011),3 PM,142
4/14 (2011),4 PM,202
4/14 (2011),5 PM,388
4/14 (2011),6 PM,337
4/14 (2011),7 PM,259
4/14 (2011),8 PM,169
4/14 (2011),9 PM,145
4/14 (2011),10 PM,104
4/14 (2011),11 PM,47
4/15 (2011),12 AM,27
4/15 (2011),1 AM,15
4/15 (2011),2 AM,18
4/15 (2011),3 AM,3
4/15 (2011),4 AM,3
4/15 (2011),5 AM,13
4/15 (2011),6 AM,47
4/15 (2011),7 AM,149
4/15 (2011),8 AM,300
4/15 (2011),9 AM,178
4/15 (2011),10 AM,122
4/15 (2011),11 AM,136
4/15 (2011),12 PM,200
4/15 (2011),1 PM,180
4/15 (2011),2 PM,163
4/15 (2011),3 PM,162
4/15 (2011),4 PM,243
4/15 (2011),5 PM,331
4/15 (2011),6 PM,263
4/15 (2011),7 PM,209
4/15 (2011),8 PM,118
4/15 (2011),9 PM,102
4/15 (2011),10 PM,80
4/15 (2011),11 PM,64
4/16 (2011),12 AM,43
4/16 (2011),1 AM,33
4/16 (2011),2 AM,24
4/16 (2011),3 AM,14
4/16 (2011),4 AM,5
4/16 (2011),5 AM,4
4/16 (2011),6 AM,10
4/16 (2011),7 AM,21
4/16 (2011),8 AM,45
4/16 (2011),9 AM,29
4/16 (2011),10 AM,22
4/16 (2011),11 AM,31
4/16 (2011),12 PM,32
4/16 (2011),1 PM,58
4/16 (2011),2 PM,63
4/16 (2011),3 PM,78
4/16 (2011),4 PM,33
4/16 (2011),5 PM,15
4/16 (2011),6 PM,38
4/16 (2011),7 PM,71
4/16 (2011),8 PM,53
4/16 (2011),9 PM,14
4/16 (2011),10 PM,24
4/16 (2011),11 PM,35
4/17 (2011),12 AM,33
4/17 (2011),1 AM,31
4/17 (2011),2 AM,29
4/17 (2011),3 AM,25
4/17 (2011),4 AM,7
4/17 (2011),5 AM,3
4/17 (2011),6 AM,8
4/17 (2011),7 AM,16
4/17 (2011),8 AM,43
4/17 (2011),9 AM,102
4/17 (2011),10 AM,211
4/17 (2011),11 AM,304
4/17 (2011),12 PM,354
4/17 (2011),1 PM,343
4/17 (2011),2 PM,361
4/17 (2011),3 PM,388
4/17 (2011),4 PM,343
4/17 (2011),5 PM,306
4/17 (2011),6 PM,277
4/17 (2011),7 PM,210
4/17 (2011),8 PM,141
4/17 (2011),9 PM,83
4/17 (2011),10 PM,70
4/17 (2011),11 PM,56
4/18 (2011),12 AM,39
4/18 (2011),1 AM,19
4/18 (2011),2 AM,16
4/18 (2011),3 AM,7
4/18 (2011),4 AM,6
4/18 (2011),5 AM,16
4/18 (2011),6 AM,54
4/18 (2011),7 AM,168
4/18 (2011),8 AM,297
4/18 (2011),9 AM,169
4/18 (2011),10 AM,109
4/18 (2011),11 AM,123
4/18 (2011),12 PM,184
4/18 (2011),1 PM,169
4/18 (2011),2 PM,144
4/18 (2011),3 PM,176
4/18 (2011),4 PM,205
4/18 (2011),5 PM,428
4/18 (2011),6 PM,362
4/18 (2011),7 PM,286
4/18 (2011),8 PM,165
4/18 (2011),9 PM,151
4/18 (2011),10 PM,90
4/18 (2011),11 PM,46
4/19 (2011),12 AM,25
4/19 (2011),1 AM,7
4/19 (2011),2 AM,13
4/19 (2011),3 AM,3
4/19 (2011),4 AM,5
4/19 (2011),5 AM,18
4/19 (2011),6 AM,65
4/19 (2011),7 AM,188
4/19 (2011),8 AM,351
4/19 (2011),9 AM,162
4/19 (2011),10 AM,75
4/19 (2011),11 AM,72
4/19 (2011),12 PM,103
4/19 (2011),1 PM,129
4/19 (2011),2 PM,107
4/19 (2011),3 PM,127
4/19 (2011),4 PM,192
4/19 (2011),5 PM,411
4/19 (2011),6 PM,421
4/19 (2011),7 PM,276
4/19 (2011),8 PM,168
4/19 (2011),9 PM,122
4/19 (2011),10 PM,112
4/19 (2011),11 PM,52
4/20 (2011),12 AM,33
4/20 (2011),1 AM,7
4/20 (2011),2 AM,2
4/20 (2011),3 AM,2
4/20 (2011),4 AM,9
4/20 (2011),5 AM,15
4/20 (2011),6 AM,64
4/20 (2011),7 AM,237
4/20 (2011),8 AM,396
4/20 (2011),9 AM,197
4/20 (2011),10 AM,131
4/20 (2011),11 AM,118
4/20 (2011),12 PM,145
4/20 (2011),1 PM,177
4/20 (2011),2 PM,148
4/20 (2011),3 PM,145
4/20 (2011),4 PM,255
4/20 (2011),5 PM,432
4/20 (2011),6 PM,441
4/20 (2011),7 PM,383
4/20 (2011),8 PM,225
4/20 (2011),9 PM,172
4/20 (2011),10 PM,117
4/20 (2011),11 PM,93
4/21 (2011),12 AM,44
4/21 (2011),1 AM,26
4/21 (2011),2 AM,13
4/21 (2011),3 AM,7
4/21 (2011),4 AM,6
4/21 (2011),5 AM,14
4/21 (2011),6 AM,75
4/21 (2011),7 AM,198
4/21 (2011),8 AM,365
4/21 (2011),9 AM,196
4/21 (2011),10 AM,98
4/21 (2011),11 AM,133
4/21 (2011),12 PM,199
4/21 (2011),1 PM,177
4/21 (2011),2 PM,228
4/21 (2011),3 PM,235
4/21 (2011),4 PM,294
4/21 (2011),5 PM,481
4/21 (2011),6 PM,452
4/21 (2011),7 PM,324
4/21 (2011),8 PM,204
4/21 (2011),9 PM,184
4/21 (2011),10 PM,137
4/21 (2011),11 PM,99
4/22 (2011),12 AM,33
4/22 (2011),1 AM,24
4/22 (2011),2 AM,9
4/22 (2011),3 AM,2
4/22 (2011),4 AM,3
4/22 (2011),5 AM,16
4/22 (2011),6 AM,49
4/22 (2011),7 AM,180
4/22 (2011),8 AM,346
4/22 (2011),9 AM,195
4/22 (2011),10 AM,136
4/22 (2011),11 AM,106
4/22 (2011),12 PM,80
4/22 (2011),1 PM,40
4/22 (2011),2 PM,36
4/22 (2011),3 PM,75
4/22 (2011),4 PM,62
4/22 (2011),5 PM,69
4/22 (2011),6 PM,51
4/22 (2011),7 PM,55
4/22 (2011),8 PM,47
4/22 (2011),9 PM,28
4/22 (2011),10 PM,24
4/22 (2011),11 PM,17
4/23 (2011),12 AM,18
4/23 (2011),1 AM,16
4/23 (2011),2 AM,17
4/23 (2011),3 AM,4
4/23 (2011),4 AM,5
4/23 (2011),5 AM,7
4/23 (2011),6 AM,11
4/23 (2011),7 AM,19
4/23 (2011),8 AM,47
4/23 (2011),9 AM,68
4/23 (2011),10 AM,129
4/23 (2011),11 AM,232
4/23 (2011),12 PM,291
4/23 (2011),1 PM,312
4/23 (2011),2 PM,391
4/23 (2011),3 PM,397
4/23 (2011),4 PM,426
4/23 (2011),5 PM,383
4/23 (2011),6 PM,376
4/23 (2011),7 PM,283
4/23 (2011),8 PM,183
4/23 (2011),9 PM,135
4/23 (2011),10 PM,169
4/23 (2011),11 PM,117
4/24 (2011),12 AM,96
4/24 (2011),1 AM,54
4/24 (2011),2 AM,72
4/24 (2011),3 AM,24
4/24 (2011),4 AM,5
4/24 (2011),5 AM,12
4/24 (2011),6 AM,13
4/24 (2011),7 AM,27
4/24 (2011),8 AM,80
4/24 (2011),9 AM,177
4/24 (2011),10 AM,289
4/24 (2011),11 AM,317
4/24 (2011),12 PM,388
4/24 (2011),1 PM,441
4/24 (2011),2 PM,420
4/24 (2011),3 PM,369
4/24 (2011),4 PM,359
4/24 (2011),5 PM,331
4/24 (2011),6 PM,270
4/24 (2011),7 PM,194
4/24 (2011),8 PM,105
4/24 (2011),9 PM,61
4/24 (2011),10 PM,45
4/24 (2011),11 PM,42
4/25 (2011),12 AM,12
4/25 (2011),1 AM,10
4/25 (2011),2 AM,10
4/25 (2011),3 AM,10
4/25 (2011),4 AM,5
4/25 (2011),5 AM,17
4/25 (2011),6 AM,66
4/25 (2011),7 AM,196
4/25 (2011),8 AM,353
4/25 (2011),9 AM,174
4/25 (2011),10 AM,125
4/25 (2011),11 AM,147
4/25 (2011),12 PM,188
4/25 (2011),1 PM,203
4/25 (2011),2 PM,146
4/25 (2011),3 PM,175
4/25 (2011),4 PM,239
4/25 (2011),5 PM,521
4/25 (2011),6 PM,499
4/25 (2011),7 PM,382
4/25 (2011),8 PM,237
4/25 (2011),9 PM,190
4/25 (2011),10 PM,106
4/25 (2011),11 PM,62
4/26 (2011),12 AM,27
4/26 (2011),1 AM,21
4/26 (2011),2 AM,26
4/26 (2011),3 AM,21
4/26 (2011),4 AM,6
4/26 (2011),5 AM,16
4/26 (2011),6 AM,80
4/26 (2011),7 AM,270
4/26 (2011),8 AM,449
4/26 (2011),9 AM,199
4/26 (2011),10 AM,120
4/26 (2011),11 AM,172
4/26 (2011),12 PM,186
4/26 (2011),1 PM,176
4/26 (2011),2 PM,155
4/26 (2011),3 PM,153
4/26 (2011),4 PM,291
4/26 (2011),5 PM,521
4/26 (2011),6 PM,528
4/26 (2011),7 PM,328
4/26 (2011),8 PM,234
4/26 (2011),9 PM,195
4/26 (2011),10 PM,148
4/26 (2011),11 PM,78
4/27 (2011),12 AM,27
4/27 (2011),1 AM,17
4/27 (2011),2 AM,5
4/27 (2011),3 AM,7
4/27 (2011),4 AM,6
4/27 (2011),5 AM,17
4/27 (2011),6 AM,84
4/27 (2011),7 AM,246
4/27 (2011),8 AM,444
4/27 (2011),9 AM,181
4/27 (2011),10 AM,92
4/27 (2011),11 AM,156
4/27 (2011),12 PM,173
4/27 (2011),1 PM,150
4/27 (2011),2 PM,148
4/27 (2011),3 PM,138
4/27 (2011),4 PM,218
4/27 (2011),5 PM,521
4/27 (2011),6 PM,412
4/27 (2011),7 PM,260
4/27 (2011),8 PM,218
4/27 (2011),9 PM,145
4/27 (2011),10 PM,129
4/27 (2011),11 PM,78
4/28 (2011),12 AM,54
4/28 (2011),1 AM,20
4/28 (2011),2 AM,21
4/28 (2011),3 AM,3
4/28 (2011),4 AM,9
4/28 (2011),5 AM,13
4/28 (2011),6 AM,86
4/28 (2011),7 AM,215
4/28 (2011),8 AM,398
4/28 (2011),9 AM,183
4/28 (2011),10 AM,54
4/28 (2011),11 AM,84
4/28 (2011),12 PM,107
4/28 (2011),1 PM,121
4/28 (2011),2 PM,142
4/28 (2011),3 PM,163
4/28 (2011),4 PM,270
4/28 (2011),5 PM,455
4/28 (2011),6 PM,530
4/28 (2011),7 PM,404
4/28 (2011),8 PM,269
4/28 (2011),9 PM,194
4/28 (2011),10 PM,153
4/28 (2011),11 PM,110
4/29 (2011),12 AM,48
4/29 (2011),1 AM,31
4/29 (2011),2 AM,10
4/29 (2011),3 AM,5
4/29 (2011),4 AM,6
4/29 (2011),5 AM,25
4/29 (2011),6 AM,71
4/29 (2011),7 AM,240
4/29 (2011),8 AM,421
4/29 (2011),9 AM,230
4/29 (2011),10 AM,156
4/29 (2011),11 AM,157
4/29 (2011),12 PM,223
4/29 (2011),1 PM,308
4/29 (2011),2 PM,248
4/29 (2011),3 PM,252
4/29 (2011),4 PM,299
4/29 (2011),5 PM,508
4/29 (2011),6 PM,439
4/29 (2011),7 PM,270
4/29 (2011),8 PM,194
4/29 (2011),9 PM,195
4/29 (2011),10 PM,146
4/29 (2011),11 PM,113
4/30 (2011),12 AM,106
4/30 (2011),1 AM,74
4/30 (2011),2 AM,65
4/30 (2011),3 AM,17
4/30 (2011),4 AM,7
4/30 (2011),5 AM,7
4/30 (2011),6 AM,21
4/30 (2011),7 AM,48
4/30 (2011),8 AM,91
4/30 (2011),9 AM,156
4/30 (2011),10 AM,279
4/30 (2011),11 AM,321
4/30 (2011),12 PM,416
4/30 (2011),1 PM,455
4/30 (2011),2 PM,452
4/30 (2011),3 PM,499
4/30 (2011),4 PM,464
4/30 (2011),5 PM,407
4/30 (2011),6 PM,371
4/30 (2011),7 PM,387
4/30 (2011),8 PM,224
4/30 (2011),9 PM,177
4/30 (2011),10 PM,143
4/30 (2011),11 PM,125
5/1 (2011),12 AM,96
5/1 (2011),1 AM,59
5/1 (2011),2 AM,50
5/1 (2011),3 AM,23
5/1 (2011),4 AM,17
5/1 (2011),5 AM,10
5/1 (2011),6 AM,13
5/1 (2011),7 AM,33
5/1 (2011),8 AM,59
5/1 (2011),9 AM,141
5/1 (2011),10 AM,264
5/1 (2011),11 AM,250
5/1 (2011),12 PM,281
5/1 (2011),1 PM,332
5/1 (2011),2 PM,238
5/1 (2011),3 PM,266
5/1 (2011),4 PM,214
5/1 (2011),5 PM,196
5/1 (2011),6 PM,159
5/1 (2011),7 PM,178
5/1 (2011),8 PM,121
5/1 (2011),9 PM,105
5/1 (2011),10 PM,100
5/1 (2011),11 PM,146
5/2 (2011),12 AM,177
5/2 (2011),1 AM,114
5/2 (2011),2 AM,35
5/2 (2011),3 AM,16
5/2 (2011),4 AM,17
5/2 (2011),5 AM,20
5/2 (2011),6 AM,62
5/2 (2011),7 AM,209
5/2 (2011),8 AM,371
5/2 (2011),9 AM,172
5/2 (2011),10 AM,108
5/2 (2011),11 AM,130
5/2 (2011),12 PM,187
5/2 (2011),1 PM,170
5/2 (2011),2 PM,181
5/2 (2011),3 PM,155
5/2 (2011),4 PM,269
5/2 (2011),5 PM,537
5/2 (2011),6 PM,518
5/2 (2011),7 PM,314
5/2 (2011),8 PM,218
5/2 (2011),9 PM,232
5/2 (2011),10 PM,125
5/2 (2011),11 PM,64
5/3 (2011),12 AM,16
5/3 (2011),1 AM,14
5/3 (2011),2 AM,5
5/3 (2011),3 AM,2
5/3 (2011),4 AM,4
5/3 (2011),5 AM,14
5/3 (2011),6 AM,109
5/3 (2011),7 AM,265
5/3 (2011),8 AM,459
5/3 (2011),9 AM,186
5/3 (2011),10 AM,127
5/3 (2011),11 AM,140
5/3 (2011),12 PM,217
5/3 (2011),1 PM,194
5/3 (2011),2 PM,158
5/3 (2011),3 PM,154
5/3 (2011),4 PM,271
5/3 (2011),5 PM,517
5/3 (2011),6 PM,544
5/3 (2011),7 PM,365
5/3 (2011),8 PM,290
5/3 (2011),9 PM,225
5/3 (2011),10 PM,113
5/3 (2011),11 PM,62
5/4 (2011),12 AM,27
5/4 (2011),1 AM,7
5/4 (2011),2 AM,4
5/4 (2011),3 AM,1
5/4 (2011),4 AM,3
5/4 (2011),5 AM,9
5/4 (2011),6 AM,21
5/4 (2011),7 AM,52
5/4 (2011),8 AM,79
5/4 (2011),9 AM,40
5/4 (2011),10 AM,31
5/4 (2011),11 AM,72
5/4 (2011),12 PM,124
5/4 (2011),1 PM,143
5/4 (2011),2 PM,107
5/4 (2011),3 PM,129
5/4 (2011),4 PM,195
5/4 (2011),5 PM,410
5/4 (2011),6 PM,396
5/4 (2011),7 PM,296
5/4 (2011),8 PM,191
5/4 (2011),9 PM,150
5/4 (2011),10 PM,89
5/4 (2011),11 PM,57
5/5 (2011),12 AM,27
5/5 (2011),1 AM,10
5/5 (2011),2 AM,5
5/5 (2011),3 AM,4
5/5 (2011),4 AM,7
5/5 (2011),5 AM,30
5/5 (2011),6 AM,89
5/5 (2011),7 AM,271
5/5 (2011),8 AM,440
5/5 (2011),9 AM,184
5/5 (2011),10 AM,128
5/5 (2011),11 AM,148
5/5 (2011),12 PM,196
5/5 (2011),1 PM,192
5/5 (2011),2 PM,154
5/5 (2011),3 PM,147
5/5 (2011),4 PM,269
5/5 (2011),5 PM,533
5/5 (2011),6 PM,520
5/5 (2011),7 PM,361
5/5 (2011),8 PM,258
5/5 (2011),9 PM,180
5/5 (2011),10 PM,165
5/5 (2011),11 PM,115
5/6 (2011),12 AM,56
5/6 (2011),1 AM,32
5/6 (2011),2 AM,16
5/6 (2011),3 AM,9
5/6 (2011),4 AM,1
5/6 (2011),5 AM,16
5/6 (2011),6 AM,82
5/6 (2011),7 AM,222
5/6 (2011),8 AM,450
5/6 (2011),9 AM,188
5/6 (2011),10 AM,127
5/6 (2011),11 AM,165
5/6 (2011),12 PM,246
5/6 (2011),1 PM,253
5/6 (2011),2 PM,213
5/6 (2011),3 PM,260
5/6 (2011),4 PM,344
5/6 (2011),5 PM,553
5/6 (2011),6 PM,470
5/6 (2011),7 PM,292
5/6 (2011),8 PM,190
5/6 (2011),9 PM,152
5/6 (2011),10 PM,151
5/6 (2011),11 PM,120
5/7 (2011),12 AM,86
5/7 (2011),1 AM,58
5/7 (2011),2 AM,52
5/7 (2011),3 AM,18
5/7 (2011),4 AM,5
5/7 (2011),5 AM,7
5/7 (2011),6 AM,13
5/7 (2011),7 AM,40
5/7 (2011),8 AM,115
5/7 (2011),9 AM,218
5/7 (2011),10 AM,298
5/7 (2011),11 AM,347
5/7 (2011),12 PM,373
5/7 (2011),1 PM,436
5/7 (2011),2 PM,378
5/7 (2011),3 PM,378
5/7 (2011),4 PM,342
5/7 (2011),5 PM,354
5/7 (2011),6 PM,289
5/7 (2011),7 PM,267
5/7 (2011),8 PM,219
5/7 (2011),9 PM,182
5/7 (2011),10 PM,120
5/7 (2011),11 PM,119
5/8 (2011),12 AM,100
5/8 (2011),1 AM,64
5/8 (2011),2 AM,59
5/8 (2011),3 AM,31
5/8 (2011),4 AM,10
5/8 (2011),5 AM,5
5/8 (2011),6 AM,6
5/8 (2011),7 AM,23
5/8 (2011),8 AM,86
5/8 (2011),9 AM,160
5/8 (2011),10 AM,244
5/8 (2011),11 AM,340
5/8 (2011),12 PM,382
5/8 (2011),1 PM,390
5/8 (2011),2 PM,366
5/8 (2011),3 PM,358
5/8 (2011),4 PM,385
5/8 (2011),5 PM,351
5/8 (2011),6 PM,268
5/8 (2011),7 PM,239
5/8 (2011),8 PM,174
5/8 (2011),9 PM,127
5/8 (2011),10 PM,115
5/8 (2011),11 PM,50
5/9 (2011),12 AM,53
5/9 (2011),1 AM,33
5/9 (2011),2 AM,8
5/9 (2011),3 AM,7
5/9 (2011),4 AM,4
5/9 (2011),5 AM,23
5/9 (2011),6 AM,89
5/9 (2011),7 AM,237
5/9 (2011),8 AM,374
5/9 (2011),9 AM,178
5/9 (2011),10 AM,119
5/9 (2011),11 AM,125
5/9 (2011),12 PM,195
5/9 (2011),1 PM,174
5/9 (2011),2 PM,162
5/9 (2011),3 PM,199
5/9 (2011),4 PM,304
5/9 (2011),5 PM,598
5/9 (2011),6 PM,524
5/9 (2011),7 PM,384
5/9 (2011),8 PM,239
5/9 (2011),9 PM,156
5/9 (2011),10 PM,116
5/9 (2011),11 PM,61
5/10 (2011),12 AM,18
5/10 (2011),1 AM,15
5/10 (2011),2 AM,5
5/10 (2011),3 AM,4
5/10 (2011),4 AM,2
5/10 (2011),5 AM,29
5/10 (2011),6 AM,112
5/10 (2011),7 AM,314
5/10 (2011),8 AM,425
5/10 (2011),9 AM,205
5/10 (2011),10 AM,127
5/10 (2011),11 AM,125
5/10 (2011),12 PM,217
5/10 (2011),1 PM,202
5/10 (2011),2 PM,176
5/10 (2011),3 PM,180
5/10 (2011),4 PM,327
5/10 (2011),5 PM,611
5/10 (2011),6 PM,550
5/10 (2011),7 PM,434
5/10 (2011),8 PM,291
5/10 (2011),9 PM,203
5/10 (2011),10 PM,150
5/10 (2011),11 PM,81
5/11 (2011),12 AM,38
5/11 (2011),1 AM,20
5/11 (2011),2 AM,10
5/11 (2011),3 AM,3
5/11 (2011),4 AM,2
5/11 (2011),5 AM,20
5/11 (2011),6 AM,99
5/11 (2011),7 AM,318
5/11 (2011),8 AM,442
5/11 (2011),9 AM,203
5/11 (2011),10 AM,154
5/11 (2011),11 AM,141
5/11 (2011),12 PM,226
5/11 (2011),1 PM,193
5/11 (2011),2 PM,177
5/11 (2011),3 PM,179
5/11 (2011),4 PM,289
5/11 (2011),5 PM,259
5/11 (2011),6 PM,274
5/11 (2011),7 PM,401
5/11 (2011),8 PM,273
5/11 (2011),9 PM,234
5/11 (2011),10 PM,146
5/11 (2011),11 PM,81
5/12 (2011),12 AM,44
5/12 (2011),1 AM,17
5/12 (2011),2 AM,15
5/12 (2011),3 AM,5
5/12 (2011),4 AM,6
5/12 (2011),5 AM,29
5/12 (2011),6 AM,112
5/12 (2011),7 AM,297
5/12 (2011),8 AM,421
5/12 (2011),9 AM,212
5/12 (2011),10 AM,147
5/12 (2011),11 AM,179
5/12 (2011),12 PM,207
5/12 (2011),1 PM,218
5/12 (2011),2 PM,191
5/12 (2011),3 PM,217
5/12 (2011),4 PM,288
5/12 (2011),5 PM,594
5/12 (2011),6 PM,527
5/12 (2011),7 PM,364
5/12 (2011),8 PM,276
5/12 (2011),9 PM,223
5/12 (2011),10 PM,172
5/12 (2011),11 PM,103
5/13 (2011),12 AM,52
5/13 (2011),1 AM,20
5/13 (2011),2 AM,11
5/13 (2011),3 AM,4
5/13 (2011),4 AM,5
5/13 (2011),5 AM,25
5/13 (2011),6 AM,82
5/13 (2011),7 AM,157
5/13 (2011),8 AM,387
5/13 (2011),9 AM,233
5/13 (2011),10 AM,130
5/13 (2011),11 AM,146
5/13 (2011),12 PM,223
5/13 (2011),1 PM,226
5/13 (2011),2 PM,190
5/13 (2011),3 PM,198
5/13 (2011),4 PM,300
5/13 (2011),5 PM,491
5/13 (2011),6 PM,398
5/13 (2011),7 PM,270
5/13 (2011),8 PM,152
5/13 (2011),9 PM,154
5/13 (2011),10 PM,132
5/13 (2011),11 PM,119
5/14 (2011),12 AM,102
5/14 (2011),1 AM,82
5/14 (2011),2 AM,52
5/14 (2011),3 AM,35
5/14 (2011),4 AM,5
5/14 (2011),5 AM,14
5/14 (2011),6 AM,11
5/14 (2011),7 AM,32
5/14 (2011),8 AM,88
5/14 (2011),9 AM,100
5/14 (2011),10 AM,167
5/14 (2011),11 AM,279
5/14 (2011),12 PM,279
5/14 (2011),1 PM,248
5/14 (2011),2 PM,216
5/14 (2011),3 PM,294
5/14 (2011),4 PM,295
5/14 (2011),5 PM,272
5/14 (2011),6 PM,304
5/14 (2011),7 PM,248
5/14 (2011),8 PM,157
5/14 (2011),9 PM,59
5/14 (2011),10 PM,26
5/14 (2011),11 PM,44
5/15 (2011),12 AM,39
5/15 (2011),1 AM,47
5/15 (2011),2 AM,50
5/15 (2011),3 AM,32
5/15 (2011),4 AM,13
5/15 (2011),5 AM,14
5/15 (2011),6 AM,17
5/15 (2011),7 AM,42
5/15 (2011),8 AM,70
5/15 (2011),9 AM,134
5/15 (2011),10 AM,226
5/15 (2011),11 AM,322
5/15 (2011),12 PM,367
5/15 (2011),1 PM,456
5/15 (2011),2 PM,437
5/15 (2011),3 PM,459
5/15 (2011),4 PM,440
5/15 (2011),5 PM,392
5/15 (2011),6 PM,237
5/15 (2011),7 PM,231
5/15 (2011),8 PM,191
5/15 (2011),9 PM,151
5/15 (2011),10 PM,117
5/15 (2011),11 PM,69
5/16 (2011),12 AM,38
5/16 (2011),1 AM,14
5/16 (2011),2 AM,13
5/16 (2011),3 AM,4
5/16 (2011),4 AM,6
5/16 (2011),5 AM,21
5/16 (2011),6 AM,104
5/16 (2011),7 AM,272
5/16 (2011),8 AM,394
5/16 (2011),9 AM,194
5/16 (2011),10 AM,112
5/16 (2011),11 AM,185
5/16 (2011),12 PM,209
5/16 (2011),1 PM,214
5/16 (2011),2 PM,193
5/16 (2011),3 PM,165
5/16 (2011),4 PM,226
5/16 (2011),5 PM,274
5/16 (2011),6 PM,453
5/16 (2011),7 PM,308
5/16 (2011),8 PM,198
5/16 (2011),9 PM,177
5/16 (2011),10 PM,127
5/16 (2011),11 PM,57
5/17 (2011),12 AM,31
5/17 (2011),1 AM,13
5/17 (2011),2 AM,8
5/17 (2011),3 AM,4
5/17 (2011),4 AM,4
5/17 (2011),5 AM,22
5/17 (2011),6 AM,49
5/17 (2011),7 AM,151
5/17 (2011),8 AM,347
5/17 (2011),9 AM,207
5/17 (2011),10 AM,104
5/17 (2011),11 AM,130
5/17 (2011),12 PM,153
5/17 (2011),1 PM,172
5/17 (2011),2 PM,184
5/17 (2011),3 PM,210
5/17 (2011),4 PM,290
5/17 (2011),5 PM,604
5/17 (2011),6 PM,480
5/17 (2011),7 PM,349
5/17 (2011),8 PM,283
5/17 (2011),9 PM,174
5/17 (2011),10 PM,98
5/17 (2011),11 PM,56
5/18 (2011),12 AM,23
5/18 (2011),1 AM,12
5/18 (2011),2 AM,6
5/18 (2011),3 AM,9
5/18 (2011),4 AM,3
5/18 (2011),5 AM,9
5/18 (2011),6 AM,101
